t_enc_us,enc_deg,t1_us,y1,t2_us,y2,t3_us,y3,t4_us,y4,t5_us,y5,t6_us,y6,t7_us,y7,t8_us,y8,t9_us,y9,t10_us,y10,t11_us,y11,t12_us,y12,t13_us,y13,t14_us,y14,t15_us,y15,t16_us,y16
409331,117.846,410055,194.3270875,410541,200.5199159,411054,198.6947388,411540,196.1962404,412043,196.5038833,412537,194.3576126,413026,194.7637864,413518,195.344126,414006,194.0338199,414526,198.5649749,415003,193.2646658,415530,198.4613107,416015,196.1374657,416507,193.3148374,416985,196.249498,417489,194.6333215
417739,119.52,418451,194.6230244,418933,200.6688676,419439,198.9494722,419913,196.6851426,420403,196.928336,420887,194.3459428,421405,195.0497017,421937,195.6388277,422468,194.3704792,422957,198.470521,423442,193.3240515,423956,198.3183336,424434,196.2609803,424958,193.3068477,425459,196.1507148,425996,194.6282614
426246,121.194,426989,194.5526653,427519,200.3850242,428021,198.9204896,428537,196.3799781,429054,196.9704591,429549,193.9416601,430070,194.4865185,430540,195.3106339,431074,193.7213413,431580,197.6652963,432075,193.0057969,432580,198.0354152,433076,195.7995587,433561,192.9191498,434015,195.7550894,434520,194.3364327
434770,122.832,435497,194.1921524,435987,200.0558704,436467,198.4496246,436981,195.9111585,437488,196.5223779,437960,193.5804124,438457,194.0906732,438945,195.0416275,439463,193.6041673,439908,198.1931373,440444,192.8573483,440968,198.1306063,441467,195.7247754,441980,193.1275699,442447,196.1841151,442967,194.5314322
443217,124.506,443983,194.3035884,444460,200.633609,444961,198.6411564,445444,196.3886676,445985,196.6461044,446498,194.1228541,447021,194.4690074,447517,195.4185407,448005,194.1252739,448504,198.4530023,448952,193.5385276,449448,198.5538156,449944,196.5828876,450439,193.6186813,450947,196.7566347,451458,195.0128199
451708,126.162,452435,194.8092573,452930,200.9533239,453443,198.997961,453918,196.7551279,454430,196.9096503,454953,194.1937599,455437,194.6696776,455968,195.6411569,456476,194.0717664,456923,198.4761051,457406,193.259559,457896,198.5057014,458405,196.0281728,458914,193.0643689,459391,196.0789918,459921,194.3251607
460171,127.836,460915,194.2272569,461406,200.6154201,461911,198.6767,462430,196.4513067,462945,196.6356195,463434,194.052755,463942,194.5848137,464422,195.3814943,464963,193.8927191,465443,198.1985723,465947,193.0493677,466451,198.296691,466967,196.0486485,467492,193.259959,467983,196.387606,468463,194.7504314
468713,129.492,469475,194.7541101,469934,201.0646534,470410,198.990963,470906,196.8899793,471389,196.9363204,471879,194.3102695,472409,194.7291573,472907,195.8555912,473429,194.5438674,473893,198.6491694,474393,193.6108988,474871,198.8746151,475348,196.503915,475862,193.382079,476356,196.0699718,476854,194.6006233
477104,131.148,477873,194.5373531,478363,200.374998,478885,199.0824062,479408,196.6990718,479921,197.0479445,480434,194.3815528,480938,194.4748425,481394,195.460921,481871,194.19336,482337,198.131706,482860,193.335773,483344,198.3658098,483862,196.2696605,484374,193.2221641,484916,196.2205443,485431,194.6242498
485681,132.822,486424,194.4748947,486928,200.4717281,487469,198.9609711,487954,196.5417041,488469,196.8096251,488980,193.9541367,489486,194.5785411,489986,195.3277823,490486,194.0089745,490969,198.2938247,491471,193.2806789,491972,198.4349438,492472,196.0501869,492989,193.1736789,493478,196.3004215,493981,194.5164184
494231,134.478,494950,194.5203574,495469,200.201588,495962,198.9446355,496465,196.3496958,496965,196.5510095,497466,194.2061614,497951,194.5322753,498440,195.4216545,498927,193.9631566,499377,198.4261439,499860,193.4021154,500356,198.5017676,500865,196.3503243,501375,193.3795678,501888,196.6254064,502373,194.997731
502623,136.152,503360,194.68116,503862,200.8049021,504373,198.8379054,504878,196.784082,505410,196.8304392,505881,194.2565723,506345,194.5965184,506836,195.6618799,507309,194.308799,507771,198.6331128,508277,193.7547036,508769,198.5117875,509290,196.4606247,509829,193.6393986,510311,196.4929254,510790,194.7094985
511040,137.79,511786,194.5744701,512346,200.812684,512869,198.6688537,513360,196.4365083,513886,196.6165596,514381,194.2904258,514878,194.9228731,515378,195.4535863,515888,194.1901644,516387,198.5359124,516870,193.3787131,517375,198.5002853,517884,196.2887817,518387,193.4807183,518888,196.4531287,519395,194.7344944
519645,139.482,520387,194.7639619,520908,200.9085582,521393,199.0241112,521869,196.8984589,522355,197.1293379,522859,194.5512312,523363,194.7389537,523849,195.8713931,524353,194.4445214,524880,198.6547159,525376,193.7507148,525862,198.8239154,526344,196.5151455,526837,193.7389616,527332,196.8581249,527827,195.2503268
528077,141.138,528825,195.0501616,529321,201.0206804,529827,199.4011593,530335,196.7652049,530811,196.975728,531291,194.5023847,531789,194.9255462,532297,195.8513736,532819,194.3450974,533326,198.8433696,533821,193.5032715,534325,198.7209471,534810,196.205203,535318,193.5599798,535838,196.4394633,536317,194.5800673
536567,142.812,537322,194.567465,537816,200.8046978,538287,198.9856452,538795,196.6221894,539323,196.6893675,539825,194.0181386,540310,194.6124427,540841,195.5207371,541356,193.9628013,541847,198.2266977,542374,193.1947156,542855,198.2481755,543390,196.1450541,543918,193.2473635,544396,196.2706234,544874,194.4687581
545124,144.486,545864,194.4526061,546366,200.4369779,546867,199.0421961,547344,196.5081542,547841,196.8210359,548317,194.2766851,548803,194.7301685,549314,195.5367561,549830,194.3234745,550325,198.5748132,550815,193.141684,551324,198.2460537,551832,196.0236264,552319,193.0861904,552782,195.9808733,553297,194.194138
553547,146.142,554294,194.3219592,554818,200.4038662,555295,198.7391853,555768,196.4162486,556255,196.6751905,556738,193.9799189,557233,194.3594562,557716,195.2435165,558183,193.9315568,558676,198.1463421,559194,193.3658765,559725,198.4971107,560281,196.2515651,560732,193.3894158,561247,196.2496222,561763,194.6585274
562013,147.798,562759,194.5873385,563260,200.0873438,563752,198.9426617,564248,196.7590353,564762,196.8939151,565287,194.4654201,565762,194.9338551,566263,195.8800848,566775,194.2639788,567267,198.3449676,567733,193.8393605,568229,198.9835907,568753,196.3190941,569237,193.5321507,569731,196.4684351,570249,194.687025
